ident;dt_adhesion;nb_cart_2005m1;nb_cart_2005m2;nb_cart_2005m3;nb_cart_2005m4;nb_cart_2005m5;nb_cart_2005m6;nb_cart_2005m7;nb_cart_2005m8;nb_cart_2005m9;nb_cart_2005m10;nb_cart_2005m11;nb_cart_2005m12;montant_2005m1;montant_2005m2;montant_2005m3;montant_2005m4;montant_2005m5;montant_2005m6;montant_2005m7;montant_2005m8;montant_2005m9;montant_2005m10;montant_2005m11;montant_2005m12;nb_cart_2006m1;nb_cart_2006m2;nb_cart_2006m3;nb_cart_2006m4;nb_cart_2006m5;nb_cart_2006m6;nb_cart_2006m7;nb_cart_2006m8;nb_cart_2006m9;nb_cart_2006m10;nb_cart_2006m11;nb_cart_2006m12;montant_2006m1;montant_2006m2;montant_2006m3;montant_2006m4;montant_2006m5;montant_2006m6;montant_2006m7;montant_2006m8;montant_2006m9;montant_2006m10;montant_2006m11;montant_2006m12;nb_cart_2007m1;nb_cart_2007m2;nb_cart_2007m3;nb_cart_2007m4;nb_cart_2007m5;nb_cart_2007m6;nb_cart_2007m7;nb_cart_2007m8;nb_cart_2007m9;nb_cart_2007m10;nb_cart_2007m11;nb_cart_2007m12;montant_2007m1;montant_2007m2;montant_2007m3;montant_2007m4;montant_2007m5;montant_2007m6;montant_2007m7;montant_2007m8;montant_2007m9;montant_2007m10;montant_2007m11;montant_2007m12;sexe;IDF;age
652026;17DEC2004;50;50;0;200;0;0;0;0;0;200;0;0;14.5;14.5;0;62.2;0;0;0;0;0;62;0;0;0;0;200;0;0;0;0;0;200;0;0;0;0;0;62;0;0;0;0;0;62.6;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;62.6;0;0;0;0;0;1;0;19
652069;17DEC2004;0;200;80;0;170;0;90;0;110;110;120;0;0;60.1;23.2;0;53.7;0;28.1;0;34.5;34.5;37.6;0;0;30;40;0;0;0;0;0;50;80;260;30;0;9.3;12.4;0;0;0;0;0;15.9;25.4;81.8;9.3;110;190;210;50;330;0;200;0;130;140;0;110;34.5;58.9;65.5;15.5;104.5;0;62.4;0;40.3;43.8;0;35.3;1;0;27
652128;17DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;15.7;0;0;0;0;0;0;0;0;0;0;1;1;33
652129;17DEC2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;37
652142;17DEC2004;0;180;0;0;60;0;0;90;0;110;110;0;0;52.2;0;0;18.6;0;0;27.9;0;34.5;34.5;0;0;0;100;0;0;180;120;0;0;130;0;130;0;0;31;0;0;55.8;37.2;0;0;40.5;0;40.3;0;0;220;0;0;0;120;0;70;0;110;0;0;0;68.2;0;0;0;37.2;0;22.1;0;34.1;0;1;0;46
652147;17DEC2004;200;0;0;200;0;0;200;250;0;0;0;200;59.5;0;0;63;0;0;62;78.1;0;0;0;62;0;0;200;0;0;200;0;200;0;200;0;250;0;0;62;0;0;62;0;62;0;63;0;79.5;0;0;200;200;0;0;200;0;200;0;200;0;0;0;62;62.6;0;0;62;0;64.4;0;63.6;0;0;1;23
652151;17DEC2004;0;0;0;400;0;450;0;0;500;0;0;210;0;0;0;128;0;142.5;0;0;158.4;0;0;64;0;300;200;0;370;0;150;220;190;130;190;240;0;95;63;0;117.9;0;46.5;69.2;60.9;41.9;60.5;76.6;200;230;390;0;200;0;110;110;130;130;140;140;63;72.3;123.3;0;63.2;0;34.1;34.1;41.1;41.1;44.2;44.2;0;0;42
652161;17DEC2004;0;0;200;0;0;0;200;0;0;250;0;0;0;0;62.4;0;0;0;62;0;0;78.1;0;0;50;0;200;70;0;70;180;20;120;110;90;0;15.5;0;62;21.9;0;21.7;55.8;6.2;37.2;34.1;27.9;0;30;30;70;90;0;100;80;80;70;50;60;100;9.3;9.3;21.7;28.3;0;31.4;24.8;24.8;22.1;16.3;19.4;31.8;0;0;22
652177;17DEC2004;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63.2;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;64.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;63.2;0;0;0;0;1;0;18
652201;27DEC2004;0;200;0;0;200;0;0;250;0;0;0;0;0;58.6;0;0;62.2;0;0;78.5;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;250;62.2;0;0;0;0;0;0;0;0;0;0;78.7;0;200;0;0;0;0;0;0;200;0;0;0;0;62;0;0;0;0;0;0;62;0;0;0;1;0;38
